"Year","Accidents","Fatalities","FatalAccidents","Departures","AccidentRate","State"
2016,1,47,1,79841,12.524893225285254,"PAK"
2016,1,3,1,55396,18.05184489854863,"BGD"
2016,1,0,0,178424,5.604627180199973,"SGP"
2016,1,0,0,160754,6.220685021834605,"DNK"
2016,6,0,0,1084054,5.534779632748922,"GBR"
2016,2,0,0,959283,2.0848904859150013,"IND"
2016,1,0,0,76718,13.034750645220157,"MAR"
2016,2,0,0,825510,2.4227447275017866,"ESP"
2016,2,0,0,97429,20.527768939432818,"MMR"
2016,1,2,1,234057,4.2724635452048005,"SWE"
2016,1,0,0,154272,6.482057664384983,"IRN"
2016,3,0,0,642195,4.67147828930465,"ITA"
2016,1,0,0,260440,3.8396559668253722,"PHL"
2016,3,0,0,723755,4.145049084289573,"FRA"
2016,1,0,0,859658,1.1632532937517013,"BRA"
2016,2,0,0,1078380,1.8546338025556854,"JPN"
2016,1,1,1,328116,3.04770264174865,"ARE"
2016,3,0,0,1082250,2.772002772002772,"CAN"
2016,1,0,0,4068,245.82104228121926,"BMU"
2016,1,0,0,133346,7.49928756768107,"BEL"
2016,21,0,0,8993306,2.3350701065881667,"USA"
2016,2,0,0,473790,4.221279469807299,"THA"
2016,2,0,0,180050,11.10802554845876,"PRT"
2016,6,0,0,933563,6.426989929977944,"IDN"
2016,2,62,1,619667,3.2275399529101922,"RUS"
2016,1,0,0,936215,1.068130717837249,"DEU"
2016,1,0,0,198478,5.038341780953052,"GRC"
2017,1,0,0,634123,1.576981121958989,"MEX"
2017,1,0,0,15302,65.35093451836362,"AGO"
2017,1,0,0,436762,2.289576474143813,"MYS"
2017,1,0,0,21545,46.41448131817127,"MDV"
2017,1,0,0,233040,4.291108822519739,"ZAF"
2017,1,39,1,15680,63.775510204081634,"KGZ"
2017,1,0,0,10864,92.04712812960236,"BRB"
2017,1,0,0,111203,8.992563150274723,"EGY"
2017,1,0,0,18118,55.19372999227288,"GRL"
2017,1,0,0,4135996,0.24177973092817304,"CHN"
2017,1,0,0,139639,7.161323126060771,"PER"
2017,1,0,0,842769,1.1865647644846926,"BRA"
2017,2,0,0,1104273,1.8111463379073833,"JPN"
2017,2,0,0,283705,7.049576144234328,"PHL"
2017,1,0,0,1072697,0.9322296976685868,"IND"
2017,3,0,0,126354,23.742817797616222,"IRL"
2017,1,0,0,196815,5.080913548255976,"IRN"
2017,2,0,0,876485,2.281841674415421,"ESP"
2017,1,0,0,1378,725.6894049346879,"STP"
2017,5,0,0,1051469,4.755251938002927,"IDN"
2017,1,0,0,270035,3.7032236561927157,"NLD"
2017,1,0,0,71828,13.922147352007574,"BHS"
2017,1,0,0,22110,45.22840343735866,"GHA"
2017,2,8,2,691758,2.8911844893734515,"RUS"
2017,1,0,0,320680,3.118373456405139,"COL"
2017,1,0,0,11418,87.58101243650377,"COD"
2017,1,2,1,70492,14.186006922771378,"NPL"
2017,1,0,0,63014,15.869489319833688,"ETH"
2017,1,0,0,206433,4.844186733710211,"GRC"
2017,29,0,0,9098696,3.1872699120841053,"USA"
2017,12,1,1,1127359,10.644346654437495,"CAN"
2017,3,0,0,725356,4.1359001648845535,"AUS"
2017,1,0,0,202523,4.937710778528858,"PRT"
2017,3,0,0,498127,6.022560511676741,"THA"
2017,1,0,0,74955,13.341338136215063,"NGA"
2018,1,112,1,39800,25.12562814070352,"CUB"
2018,1,0,0,729459,1.3708789664669296,"AUS"
2018,1,51,1,80987,12.347660735673626,"NPL"
2018,2,189,1,1105347,1.8093865546294512,"IDN"
2018,1,0,0,79110,12.640626975097964,"ISR"
2018,1,0,0,750781,1.3319463332183419,"FRA"
2018,1,0,0,44947,22.248425923865888,"PNG"
2018,1,0,0,95202,10.503981008802336,"MMR"
2018,1,0,0,303971,3.2897875126245597,"PHL"
2018,1,0,0,87561,11.420609632142163,"UKR"
2018,2,0,0,989143,2.0219523365175713,"DEU"
2018,1,1,1,2776,360.2305475504323,"GUY"
2018,3,0,0,620763,4.832762261926049,"TUR"
2018,3,0,0,933642,3.213223055518068,"ESP"
2018,2,0,0,1126182,1.7759118863558465,"JPN"
2018,2,0,0,863323,2.3166300446067116,"BRA"
2018,1,0,0,155128,6.4462895157547315,"PER"
2018,3,0,0,67547,44.41351947532829,"BOL"
2018,1,1,1,15221,65.69870573549701,"UGA"
2018,1,0,0,79783,12.533998470852186,"KAZ"
2018,2,0,0,75021,26.659202090081443,"NGA"
2018,2,0,0,232053,8.618720723283044,"GRC"
2018,1,20,1,3530,283.28611898017,"SSD"
2018,1,0,0,179443,5.572800276410894,"POL"
2018,2,0,0,330061,6.0594859738048426,"NOR"
2018,1,0,0,650082,1.5382674801025102,"MEX"
2018,1,0,0,354305,2.822427004981584,"SAU"
2018,2,0,0,306020,6.535520554212143,"VNM"
2018,3,0,0,4414077,0.6796437850993537,"CHN"
2018,2,0,0,528695,3.7828994032476193,"THA"
